a,-0.092277765,
c,19.226984,
;,11270.107658568208,
+,0.0,
<,3.88025,
>,0.0,
ENTR,0.01,
REW,-9.372166666666665,
lr,0.0002,
MAX REWD: -9.372166666666665 REWD_ID: 1,
a,0.01420434,
c,7.1816354,
;,10246.94039355939,
+,0.0,
<,3.7913,
>,0.0,
ENTR,0.01,
REW,-8.956166666666666,
lr,0.0002,
MAX REWD: -8.956166666666666 REWD_ID: 2,
a,0.33283234,
c,1.3671128,
;,10516.694811556974,
+,0.0,
<,3.8154,
>,0.0,
ENTR,0.01,
REW,-8.869833333333334,
lr,0.0002,
MAX REWD: -8.869833333333334 REWD_ID: 3,
a,-0.094795465,
c,1.0989828,
;,10413.160647337956,
+,0.0,
<,3.8459,
>,0.0,
ENTR,0.01,
REW,-8.814833333333334,
lr,0.0002,
MAX REWD: -8.814833333333334 REWD_ID: 4,
a,0.13238461,
c,0.30704865,
;,10761.316089645485,
+,0.0,
<,3.88025,
>,0.0,
ENTR,0.01,
REW,-9.153333333333334,
lr,0.0002,
a,-0.28695482,
c,0.23436263,
;,10325.609286464683,
+,0.0,
<,3.40275,
>,0.0,
ENTR,0.01,
REW,-5.7056666666666676,
lr,0.0002,
MAX REWD: -5.7056666666666676 REWD_ID: 6,
a,-0.38673756,
c,0.20819835,
;,8967.890465800692,
+,0.0,
<,1.5862444444444443,
>,0.0,
ENTR,0.01,
REW,-0.956,
lr,0.0002,
MAX REWD: -0.956 REWD_ID: 7,
a,-0.011330057,
c,0.12367026,
;,9262.600524714084,
+,0.0,
<,1.6742666666666666,
>,0.0,
ENTR,0.01,
REW,-1.3961666666666666,
lr,0.0002,
a,-0.5239886,
c,0.06874209,
;,9285.296146570805,
+,0.0,
<,1.63365,
>,0.0,
ENTR,0.01,
REW,-1.0476666666666667,
lr,0.0002,
a,0.23387273,
c,0.3401569,
;,8893.946933603294,
+,0.0,
<,1.62705,
>,0.0,
ENTR,0.01,
REW,-0.6405,
lr,0.0002,
MAX REWD: -0.6405 REWD_ID: 10,
a,-0.12653421,
c,0.34545916,
;,9048.497711782744,
+,0.0,
<,1.6061555555555556,
>,0.0,
ENTR,0.01,
REW,-0.9158333333333334,
lr,0.0002,
a,-0.2926027,
c,0.1302924,
;,9334.756796353582,
+,0.0,
<,1.677888888888889,
>,0.0,
ENTR,0.01,
REW,-0.8234999999999998,
lr,0.0002,
a,0.37091005,
c,0.2171382,
