a,-0.17882524,
c,3.7200418,
;,8674.51394768793,
+,0.0,
<,1.85255,
>,0.0,
ENTR,0.01,
REW,-2.2735,
lr,0.0002,
MAX REWD: -2.2735 REWD_ID: 1,
a,-0.17882524,
c,3.7200418,
;,8674.51394768793,
+,0.0,
<,1.85255,
>,0.0,
ENTR,0.01,
REW,-2.2735,
lr,0.0002,
MAX REWD: -2.2735 REWD_ID: 1,
a,0.14788073,
c,0.9157093,
;,8850.279698562048,
+,0.0,
<,1.8338,
>,0.0,
ENTR,0.01,
REW,-2.4100000000000006,
lr,0.0002,
a,0.37892804,
c,0.3234554,
;,8728.196075370473,
+,0.0,
<,2.0362,
>,0.0,
ENTR,0.01,
REW,-2.2434999999999996,
lr,0.0002,
MAX REWD: -2.2434999999999996 REWD_ID: 3,
a,0.27241156,
c,0.34876144,
;,8844.363135848274,
+,0.0,
<,1.8338,
>,0.0,
ENTR,0.01,
REW,-2.3478333333333334,
lr,0.0002,
a,0.06288432,
c,0.21947989,
;,8974.336130570786,
+,0.0,
<,1.9277,
>,0.0,
ENTR,0.01,
REW,-2.447666666666667,
lr,0.0002,
a,-0.51377016,
c,0.0689476,
;,9436.386111371778,
+,0.0,
<,1.73535,
>,0.0,
ENTR,0.01,
REW,-2.1628333333333334,
lr,0.0002,
MAX REWD: -2.1628333333333334 REWD_ID: 6,
a,0.55200666,
c,0.1535187,
;,8615.046583355717,
+,0.0,
<,1.90705,
>,0.0,
ENTR,0.01,
REW,-2.1603333333333334,
lr,0.0002,
MAX REWD: -2.1603333333333334 REWD_ID: 7,
a,-0.11039129,
c,0.08744158,
;,8769.226098270508,
+,0.0,
<,1.83645,
>,0.0,
ENTR,0.01,
REW,-1.7916666666666665,
lr,0.0002,
MAX REWD: -1.7916666666666665 REWD_ID: 8,
a,0.05995641,
c,0.132276,
;,11226.555191607096,
+,0.0,
<,2.5034222222222224,
>,0.0,
ENTR,0.01,
REW,-4.950333333333334,
lr,0.0002,
a,-0.16924843,
c,0.32292315,
;,9653.968729247228,
+,0.0,
<,2.4529,
>,0.0,
ENTR,0.01,
REW,-4.014333333333332,
lr,0.0002,
a,0.39340383,
c,0.26538566,
;,9280.725354660513,
+,0.0,
<,2.64685,
>,0.0,
ENTR,0.01,
REW,-4.1605,
lr,0.0002,
a,-0.57847756,
c,0.09435277,
;,10377.050598448295,
+,0.0,
<,2.58145,
>,0.0,
ENTR,0.01,
REW,-4.121833333333334,
lr,0.0002,
a,0.13585095,
c,0.13436815,
;,9105.732257660811,
+,0.0,
<,2.4135,
>,0.0,
ENTR,0.01,
REW,-3.0851666666666664,
lr,0.0002,
a,0.44289592,
c,0.13410458,
;,9465.338143735857,
+,0.0,
<,2.34305,
>,0.0,
ENTR,0.01,
REW,-3.115333333333333,
lr,0.0002,
a,-0.3481661,
c,0.21962175,
;,9067.503301865638,
+,0.0,
<,2.00315,
>,0.0,
ENTR,0.01,
REW,-3.0966666666666662,
lr,0.0002,
a,-0.3730613,
c,0.22063276,
;,9226.697748389215,
+,0.0,
<,2.41725,
>,0.0,
ENTR,0.01,
REW,-4.8084999999999996,
lr,0.0002,
a,0.09740463,
c,0.15342653,
;,8877.687992605868,
+,0.0,
<,2.27295,
>,0.0,
ENTR,0.01,
REW,-3.853166666666666,
lr,0.0002,
a,0.09410632,
c,0.09120027,
;,8822.97489937573,
+,0.0,
