a,-0.0566355,
c,0.12309873,
;,7690.960573401581,
+,0.0,
<,1.7262666666666666,
>,0.0,
ENTR,0.01,
REW,-0.5824999999999999,
lr,0.0002,
MAX REWD: -0.5824999999999999 REWD_ID: 1,
a,0.39510164,
c,0.061785985,
;,7576.681078641423,
+,0.0,
<,1.7262666666666666,
>,0.0,
ENTR,0.01,
REW,-0.3331666666666665,
lr,0.0002,
MAX REWD: -0.3331666666666665 REWD_ID: 2,
a,-0.49968562,
c,0.22663443,
;,7726.53675067763,
+,0.0,
<,1.7262666666666666,
>,0.0,
ENTR,0.01,
REW,-0.6548333333333333,
lr,0.0002,
a,-0.47940093,
c,0.10163385,
;,7604.131927148644,
+,0.0,
<,1.7262666666666666,
>,0.0,
ENTR,0.01,
REW,-0.4500000000000001,
lr,0.0002,
a,-0.010781277,
c,0.041947633,
;,7666.737337597232,
+,0.0,
<,1.7262666666666666,
>,0.0,
ENTR,0.01,
REW,-0.8598333333333336,
lr,0.0002,
a,-0.44637915,
c,0.08063325,
;,7744.980946238129,
+,0.0,
<,1.755311111111111,
>,0.0,
ENTR,0.01,
REW,-0.906,
lr,0.0002,
a,0.59113824,
c,0.117242455,
;,7653.973112950743,
+,0.0,
<,1.7262666666666666,
>,0.0,
ENTR,0.01,
REW,-0.4151666666666667,
lr,0.0002,
a,-0.20321938,
c,0.17153266,
;,7378.307807566155,
+,0.0,
<,1.755311111111111,
>,0.0,
ENTR,0.01,
REW,-0.2780000000000001,
lr,0.0002,
MAX REWD: -0.2780000000000001 REWD_ID: 8,
a,-0.10767678,
c,0.06850289,
;,7437.1516244333725,
+,0.0,
<,1.755311111111111,
>,0.0,
ENTR,0.01,
REW,-0.08116666666666654,
lr,0.0002,
MAX REWD: -0.08116666666666654 REWD_ID: 9,
a,-0.06109079,
c,0.051588017,
;,7357.324254275154,
+,0.0,
<,1.755311111111111,
>,0.0,
ENTR,0.01,
REW,-0.12116666666666662,
lr,0.0002,
a,-0.31077886,
c,0.0776348,
;,7788.524730230473,
+,0.0,
<,1.92215,
>,0.0,
ENTR,0.01,
REW,-0.9218333333333333,
lr,0.0002,
a,-0.3085355,
c,0.066368505,
;,7813.382732256836,
+,0.0,
<,1.92215,
>,0.0,
ENTR,0.01,
REW,-0.8065,
lr,0.0002,
a,-0.2245726,
c,0.027820254,
;,8090.647651470359,
+,0.0,
<,2.21465,
>,0.0,
ENTR,0.01,
REW,-1.2834999999999999,
lr,0.0002,
a,-0.22930984,
c,0.079522446,
;,7966.758911999859,
+,0.0,
<,1.755311111111111,
>,0.0,
ENTR,0.01,
REW,-0.9871666666666666,
lr,0.0002,
a,0.1624077,
c,0.092828415,
;,8188.565488142601,
+,0.0,
<,1.755311111111111,
>,0.0,
ENTR,0.01,
REW,-1.193333333333333,
lr,0.0002,
a,0.07810471,
c,0.051217824,
;,7891.794685271166,
+,0.0,
<,1.92395,
>,0.0,
ENTR,0.01,
REW,-0.6968333333333331,
lr,0.0002,
a,0.28403315,
c,0.1181855,
;,7986.786092956368,
+,0.0,
<,1.7823,
>,0.0,
ENTR,0.01,
REW,-0.8433333333333332,
lr,0.0002,
a,0.59335697,
c,0.105724014,
;,7947.967664517587,
+,0.0,
<,1.79315,
>,0.0,
ENTR,0.01,
REW,-0.7961666666666665,
lr,0.0002,
a,0.20618904,
c,0.09802592,
;,7679.775032966547,
+,0.0,
<,1.7849,
>,0.0,
ENTR,0.01,
REW,-0.4276666666666666,
lr,0.0002,
a,0.26835668,
c,0.08910576,
;,7408.456410005906,
+,0.0,
<,1.6575333333333333,
>,0.0,
ENTR,0.01,
REW,0.03500000000000005,
lr,0.0002,
MAX REWD: 0.03500000000000005 REWD_ID: 20,
a,0.3319411,
c,0.042897172,
;,7072.161588905602,
+,0.0,
<,1.6575333333333333,
>,0.0,
ENTR,0.01,
REW,0.6796666666666666,
lr,0.0002,
MAX REWD: 0.6796666666666666 REWD_ID: 21,
a,0.5847421,
c,0.39214718,
;,7340.703132754319,
+,0.0,
<,1.7217777777777779,
>,0.0,
