Modelo,Topologia,Tiempo,Uso
DRL,EliBackbone,6.046238,1.05809
DRL,HurricaneElectric,11.359623999999998,0.9141499999999999
DRL,Janetbackbone,23.965767999999997,0.882804
DRL+LS,EliBackbone,13.031704,0.7763760000000001
DRL+LS,HurricaneElectric,26.508290000000002,0.702666
DRL+LS,Janetbackbone,64.190468,0.673122
ILP,EliBackbone,79.993169,0.647522
ILP,HurricaneElectric,192.12321400000002,0.521446
ILP,Janetbackbone,280.11663799999997,0.547021
